audio,text
clip_0109.wav,"Bir çay ver içim mən, nə bilim əmim oğlu toy eliyir, boş-boş mənasız o efirlərə gətirdiz mahnılarla, bayağı mahnılarla yox."
clip_0110.wav,"Elə proqramlar olsun ki, valideyn övlad mən oğlumla rahat izləyə bilib, bu gün mən oğlumla birlikdə rahat çəkildə televiziya baxa bilərəmmi?"
clip_0111.wav,"Baxa bilərsizmirsiz, gəlin təmiz danışaq da."
clip_0112.wav,"Marifləndirici layihələr çoxalsın, elm adamları çıxsın efirə, gənc ixtiraçılar tanıdılsın, kənd təsərrüfatı, texnologiya, tarix, mədəniyyət."
clip_0113.wav,"Bu proqramlar hazırlansın, əsasında özəl kanallar sizə aiddir."
clip_0114.wav,"Azərbaycanın bölgələri tanıdılsın, istedadlı insanlar efirdə yer alsın, reytinq naminə qalmaqal yox, keyfiyyət uğrunda rəqabət olsun."
clip_0115.wav,"Bu gün YouTube, Facebook, TikTok və digər platformalar sürətli inkişaf edir, bunun səbəbi təkcə texnologiya deyil."
clip_0116.wav,"İstədiyi vaxt izləmək istəyir."
clip_0117.wav,"İstədiyi mövzunu özü seçmək istəyir."
clip_0118.wav,"İnsanları məcburiyyətdən yox."
clip_0119.wav,"Ehtibar etdikləri üçün televiziyaya baxmalıdırlar."
clip_0120.wav,"göstərişlə kimsə diktəsi ilə olmur."
clip_0121.wav,"Ehtibar illərlə qazanılır, televiziyalar siz o etibarı itirmisiz, tamaşaçı eşitsə ki."
clip_0122.wav,"Səbəb internetdimi, yoxsa televiziya özü tamaşaçısını itirib, fikirlərinizi şərhlərdə yazmağı xahiş edirəm, videonu bəyəndinizsə."
clip_0123.wav,"Paylasın, kanalıma abunə olun və növbəti videolarda yenidən görüşmək ümidi ilə. Sağ olun."
clip_0124.wav,"Dəmir yumruqla düşmən başa əzdik, Allah Azərbaycanımızı, dövlətimizi və ordumuzu qorusun."
clip_0125.wav,"Həftə ərzində gündəmi zəbt edən mövzularla bağlı mən Raiyyət İmamƏliyev vətəndaş mövqeyimlə  qarşınızdayam."
clip_0126.wav,"Xahiş edirəm kanalıma abunə olub bəyanəsiniz."
clip_0127.wav,"Azərbaycan artıq cərimələr ölkəsinə çevrilib."
clip_0128.wav,"Narco ticarət dedikdə Kolumbiya, futbol dedikdə Braziliya necə ağıllara gəlirsə,"
clip_0129.wav,"Cərimə adı gələn də də ağıllara ilk Azərbaycan gəlir."
clip_0130.wav,"Metro və avtobuslarda, yay xanaraq, ayaqlarını geniş açaraq oturan sərnişinlər."
clip_0131.wav,"Çərmə oluna və ya 15 günədək inzibati həbsə məruz qala bilərlər."
clip_0132.wav,"Bəlkə bu metroda oturan kişinin prostatında problem var, və ya ayaqlarının arasına çiban çıxıb, və ya nəsə olub açıq demək istəmirəm."
clip_0133.wav,"Bu kişi ayaqlarını aralamadan necə otursun?"
clip_0134.wav,"Və ya güngörməzinə üzr istəyirəm, ağac batıb, babasili var, o yayxammadan necə otursun?"
clip_0135.wav,"Ya bu Azərbaycan cəmiyyətini barmağınıza dolamısız, ya da təfəkkürünüz bundan artıq deyil."
clip_0136.wav,"Başa düşürəm, bəziləri az qala uzanıb iki nəfərin yerini tutur."
clip_0137.wav,"Bəzisə oturan kimi yan oturacaq bir çantasını qoyur, camaat otura bilmir."
clip_0138.wav,"Bu istimai qanaqla və ya sürücü tərəfindən həmin sərnişinə."
clip_0139.wav,"İkinci oturacağın pulunu ödətdirməklə və ya avtobusdan düşürülməklə."
clip_0140.wav,"Üzümü Azərbaycanda bƏzi qanun tƏklifi verƏn hüquqşünaslara, aidiyyatı orqanlara tuturam."
clip_0141.wav,"BelƏ mƏnasız boş-boş tƏşriflƏrinizdƏn vaz keçin."
clip_0142.wav,"Azərbaycanda o qədər qəbul olunması mühüm qanunlar var ki."
clip_0143.wav,"O qədər var ki, inanın, bu bir həqiqətdir."
clip_0144.wav,"Xəyanət haqda qanun təklifi verin ki,"
clip_0145.wav,"Ailəli 50 yaşlı kişinin cavan bir qızı qaçırıb özünə üçüncü arvad etmək istəyi olmaz."
clip_0146.wav,"Xəyanət haqqında qanun təklifi verin ki,"
clip_0147.wav,"Arvad iki uşağı ilə ərini evdə buraxıb qonşu oğlana qoşulub Bakıya qaçmasın."
clip_0148.wav,"Qanun təklifi verin ki, saxta bəy gəlin xidməti dələduzluq hesab edilib cəzalandırılsın."
clip_0149.wav,"əmlak hədiyyəsi qanununuza düzəliş edin."
clip_0150.wav,"Bax bunların qarşısını alan qanun lahiyələri qəbul edin, yoxsa arvad ərinə daha səni sevmirəm desə məsuliyyəti var?"
clip_0151.wav,"Ər arvadına çay gətir desə, arvad gətirməsə, arvad hərəkətin xoşuna gəlmədi sözü."
clip_0152.wav,"İnzibati məsuliyyətdirsə, harda görünüb bu?"
clip_0153.wav,"Bəlkə ər-arvad arasındakı bu intim münasibətlərin sayına görədəmi bir qanun qəbul edəsiz, da əlinizi bulanırsız, məhrəmimizin evimizin içinə girmisiz də?"
clip_0154.wav,"Müəllim Şagirdə ucadan, ayə süleyman, sakit ol desə."
clip_0155.wav,"Psixoloji şiddətdir və müəllim 300 manat cərimə olunacaq, harda görürlər?"
clip_0156.wav,"Mağazadan evə ərzaq alanda külək salafan torbanı uçurtsa və ya əlindən paket çırılsa, yerə tökülsə, ətraf mühidi zibillətdin cəriməsi var."
clip_0157.wav,"Yolda it sənə hücum çəksə, sən itə təpik vursan cərim olunursan."
clip_0158.wav,"itin hüquqları qorunubsa, bəs bizim hüquqlar harda qaldı?"
clip_0159.wav,"Avtobus yolu cərimə, elektron siqaret çəksən cərimə, başa düşdü bunları, başa düşdü."
clip_0160.wav,"Əhalinin cibinə girməklə bütün cərimələri tətbiq etmək olmaz axı."
clip_0161.wav,"Yox əgər sırf əhalini cərimələmək fikriniz varsa, qoyun mən bir-iki təklif verim sizə."
clip_0162.wav,"Gündə yalnız üç dəfə öskürməyə icazə verilir."
clip_0163.wav,"Bu qanun təkliflərini versəz, mən təəccüblənmərəm, heç kəs təəccüblənməz."
clip_0164.wav,"Güya arada bir əhalini düşürüb."
clip_0165.wav,"Qanun təklifə verirsiniz."
clip_0166.wav,"təklif verirsiz, media başlıqları da partladır, əhaliyə şad xəbər."
clip_0167.wav,"Muştuluğumuzu verin."
clip_0168.wav,"Cərimə olunmuş maşınların yanında sürücüsü yoxdursa."
clip_0169.wav,"Protoqor şüşənin üstünə qoyumayacaq."
clip_0170.wav,"Ə bunun harası şad xəbəri oldu, nəsi muştuluqdur."
clip_0171.wav,"Hə, nə fərq var ki, şüşənin üstünə qoyuldu, qoyulmadı. Əsas o cərimə yazılıb e."
clip_0172.wav,"Sürücüyə maraqlı deyil o protokol şüşənin üstündədir, yoxsa yox?"
clip_0173.wav,"Sürücüyə maraqlıdır ki, bu cərimənin pulunu hardan tapıb ödəyəcək?"
clip_0174.wav,"Hüquq fakültəsinin bir tələbəsi ötən gün sosial şəbəkədə bir yazı paylaşıb."
clip_0175.wav,"Deyir ki, universitetdən çıxıb evə gedən də."
clip_0176.wav,"Parkda gözəl bir qızla rastlaşdın."
clip_0177.wav,"Tanış olmaq üçün bəhanı axtardım, cibimdən bir 50 manat çıxarıb üstünə öz telefon nömrəmi yazdım."
clip_0178.wav,"Mənim verdiyim o 50 manatı dönerçiyə verdi və döner aldı, qalıq pulunu da."
clip_0179.wav,"Cibinə qoyub avtobuza minib çıxdı getdi."
clip_0180.wav,"Həmin tələbə əlavə edərək yazır ki, dönər satan qızın verdiyi o puldaçı nömrənin."
clip_0181.wav,"Qıza aydın olduğunu düşünüb."
clip_0182.wav,"Və gecə sәhәrә qәdәr hәmin dönәr satan mәnә durmadan whatsapp-da mesaj yazıb ki."
clip_0183.wav,"Dönәrim xoşunuza gәldimi?"
clip_0184.wav,"Deyәsәn mayanezli dönәri daha çox sevirsiz."
clip_0185.wav,"Bax elә hәmin oğlan kimi."
clip_0186.wav,"hüquq fakültüәslindә imtahan vә zasotları."
clip_0187.wav,"Görün baxımlar verənlərdir."
clip_0188.wav,"Çılğın dondurmaçı və Nadir Qafarzadə haqda bir video buraxmışdım və demişdim ki, cündəmə Nadir Qafarzadə adlı bir müğənni damğa vurub."
clip_0189.wav,"Deyib ki, bir türk dondurmaçısı arvadlarınızı, qızlarınızı qabağında oynadır."
clip_0190.wav,"20 faizi çıxmaq şərti ilə cəmiyyət üzünü üzə tüpürüm, tinənizə tüpürüm, həmin dondurmasın, dediklərinə qulaq asın."
clip_0191.wav,"Şimdi bizim yeni konsepimiz sadəcə çocuk var, sadəcə balalar. Çünki nədən?"
clip_0192.wav,"Amma ayı, dans eləyən bayanların hepsi Yavancı, Azərbaycanlı bir yadanda aydın oldu ki, dondurması bu şoğunun uşaqları üçün edib."
clip_0193.wav,"Və rəqs edənlərin əşh səriyyatı da xarici turistlər olub, əgər orada rəqs edən Azərbaycanlı xanım var idisə tanıyırdınızsa,"
clip_0194.wav,"Niyə tənqid etmədiniz, niyə istimailəşdirmədiniz, niyə demədiniz?"
clip_0195.wav,"Lap Azərbaycanlı xanım var idisə, burda dondurmasının nə günahı var ki, bu adamın Türkiyədəki şovlarına minlərlə turist,"
clip_0196.wav,"Bu çılğın dondurması üçün Türkiyəyə gəlir, Türkiyəli dondurması da yaşı Azərbaycan sədaları altında insanları əyləndirir."
clip_0197.wav,"Tanınmış bir jurnalistin və ya bir istimai fiqurun."
clip_0198.wav,"Lap belə dondurması qarşısında rəqs edən xanımlara tənqidi normaldır."
clip_0199.wav,"Pis baxmıram, amma bədbəxtçilik budur ki, bunu haqq olmayan nadir deyir və hansı nadir?"
clip_0200.wav,"Televiziyalardan qovulduğu üçün daha toylara çağılmadığı üçün gündəmə gəlmək məqsədilə deyir."
clip_0201.wav,"Nadir Qafarzadə Azərbaycan vətəndaşlarına manipulyas etmək istəyir."
clip_0202.wav,"Paşa təfəkkürləri də tuturam."
clip_0203.wav,"Namus qeyrәt, bazarda satılmır ki, kimsә onu pulla alsın."
clip_0204.wav,"Əxlaqsızlığa qarşı mübarizә."
clip_0205.wav,"Gözlәrinizә eynәş taxıb saqqal buraxıb priuslarda, bәy edәlәrdә video çәkmәklә, camaata Əxlaq dәrsi çıxmaqla olmur."
clip_0206.wav,"Mәtbәxdә video açıb camaata ağıl öyrәtmәslә dә olmur."
clip_0207.wav,"Hәmin hadisәni az qala Əxlaq Əldәn gedir deyib."
clip_0208.wav,"Hay qıranlara bir sual verměk istěyirěm."
clip_0209.wav,"İfadəmə görə də üzr istəyirəm, eşçəyə küçü çatmayanım, palam da yazılmağına ehtiyac yoxdur, deyə."
clip_0210.wav,"Elə həmin ərazidə az qala 20-30 gecə klubu var."
clip_0211.wav,"Qocaqlardan qucağa hoppanmasın."
clip_0212.wav,"Gircə klublarını qoyuram kənara, elə günün gündüz çağı Tarqova adlanan ərazidə fahşələrin ərəbovu."
clip_0213.wav,"Nefçilərdən Bakıxanova gedən yolda, Şamaxinqa tərəflərdə cinsi azlıqların fəaliyyəti, Xırdalan dairəsində bədən alveri."
clip_0214.wav,"Bilməyən və görməyən yoxdur, niyě sěsiniz çıxmırdı?"
clip_0215.wav,"Gözünüzün qabağında tik-tokda yüzlərlә cәns qız intim xidmәt tәslif edir."
clip_0216.wav,"Verizarı sövüb görəndə onunla foto çәkdirәnlәr, niyě sěsiniz çıxmır?"
clip_0217.wav,"Azərbaycanda ən həssas damar əxlaq damarıdır."
clip_0218.wav,"Amma bu əxlaq damarına basan, millətə əxlaq dərsi keçən adamın da kimliyə əsasçıiyyətdir, elə ona görə də."
clip_0219.wav,"Azərbaycanın namusunun qeyrәtini lәkәlәndiyi 26-sı fevral Xocalı soyqırmıcını İsraildə konsert verə Nadir Qafarzadə."
clip_0220.wav,"Cəmiyyətə əxlaq dәrsi keçәrәk bәzilәri üçün hәqiqәt çarçısına çevrilir."
clip_0221.wav,"Mәn elә onlardan biri dә Nadir Qafarzadęni hesab edirәm."
clip_0222.wav,"Səhnělěrdě Əxlaqsızlıq tƏbliğ olunur deyib."
clip_0223.wav,"İnsanları manipulyasiya edƏn."
clip_0224.wav,"O Əxlaqsızlığı sƏhnělƏrƏ nadir sizlƏr gƏtirmisiz, biri sƏn."
clip_0225.wav,"Ayam Babatişiyevanı arxadan qucaqlayıb başını onun sinėsinė qoyan."
clip_0226.wav,"SƏhnědƏ qƏdƏk sındıran."
clip_0227.wav,"Biri əxlaqdan danışaraq cəmiyyətin 20%-ni çıxmaq şərti ilə qalan 80%-ni, yəni 10 milyonluq xalqın 8 milyonunun."
clip_0228.wav,"Siz bunu qəbul etsəniz də."
clip_0229.wav,"Etməsəniz də, tarix bizim türk olduğumuzu sübut edir."
clip_0230.wav,"Oynamaq başqa şey, oynatmaq məcburi şəkildə olur."
clip_0231.wav,"Oynamaq isə könüllü şəkildə olur."
clip_0232.wav,"Belə çıxır ki, toylarda heç kəs xanımlarını, qızlarını rəqs etməyə qoymasın ki, oxuyan kişi müğənnidir?"
clip_0233.wav,"Çişi müğənni toyda qadınlarımızı qabağında oynadır deyə düşünməli?"
clip_0234.wav,"Və ya toyda oxuyan müğənniyə yaxınlaşıb milli şimliliyini öyrənib sonra qızımızı rəqs etməsinə icazə verməliyik?"
clip_0235.wav,"Toy müğənnisinin də, klonun da, şomenin də, tərxəyin də əsas funksiyası insanlara əyləndirməkdir."
clip_0236.wav,"Pul müqabilində biriçi qadın və uşağın yaşı Azərbaycan oxuyan dondurmaçı ilə."
clip_0237.wav,"Rəqsində qəbahət nədir ki?"
clip_0238.wav,"Sənin onların özünə tüpürměyě cěsarětini çatarmı?"
clip_0239.wav,"Cennifer Lopez parçaya gělměsin ki, fanatları oynayar."
clip_0240.wav,"Nadirin acığına gělěr?"
clip_0241.wav,"Tarkan oxumasın ki, insanlar qabağında oynayar."
clip_0242.wav,"Nadiri narahat edƏr."
clip_0243.wav,"Nadir QafarzadƏ toyda oxuyanda millƏt rƏqs edir, onda belƏ çıxır ki, Nadir qadın vƏ qızlarımızı qabağında oynadır?"
clip_0244.wav,"Adam Aynes kanalında Türçəli vığınlara paxıllıq etdi."
clip_0245.wav,"Və Azərbaycan Türkiyə qardaşlığına çirəyənlik bayaq dedim, yaltaqlıq adlandırdı."
clip_0246.wav,"Sonra özü kirəyənli, yaltaqlıq etdi, üzr istəyirəm, dedi ki, mən Türk deyiləm, ulu öndər demişəm, mən fəxr edirəm ki, Azərbaycanlıyam."
clip_0247.wav,"Bu tüc düşməni başa düşmür ki, ulu öndər o sözü Azərbaycanda yaşayan bütün millətlərə deyib, vətəndaşlıq mənasında deyib."
clip_0248.wav,"Azərbaycanda yaşayan bu ölkənin vətəndaşı olan rusda, türk dƏ, talış da, lƏzgi dƏ vƏ sairƏ hamısı vƏtƏndaş olaraq azƏrbaycanlılardır."
clip_0249.wav,"Hələ millətlə vƏtƏndaşlıq anlayışını bilměyěn bu adam düşünmědi ki."
clip_0250.wav,"Elə ulu ömründə Rövzu demişdi də, Azərbaycan və Türkiyə bir millət içi dövlətdir, öz millətini tanımayan çıxıb Azərbaycan cəmiyyətinə,"
clip_0251.wav,"Özünü tanımayanlar üzünüzə tüpürüm 80% deyir, başa düşmürəm."
clip_0252.wav,"Şov biznesdə bir yandan deyib qışqıranların gözlərinə elə bir dondurmasını yaşı Azərbaycanı gəldi?"
clip_0253.wav,"Rusiyanı sevən, amma Türkiyəni sevməyən Nadir."
clip_0254.wav,"İstirahatını niyə Türkiyənin Antalya şəhərində seçilir, əgər Türkiyəni sevmirsə?"
clip_0255.wav,"Ayla, ay pasya təfəkkürlülər, bəziləri, elə Nadir Qafarzadənin millətə əxlaq dərsi keçməyinə görədir ki."
clip_0256.wav,"Bu gün Velizar Bayram qəhrəmana çevriliblər az qala."
clip_0257.wav,"Qazı qalxır, suyu qalxır, pensiya yaşı qalxır, fərqində deyil, amma Nadir Qafarzadənin sərsəm danışıqları bu cəmiyyətdə gündən olub, çox təəssüf."
clip_0258.wav,"Fişirləriniz maraqlıdır mənim üçün."
clip_0259.wav,"Bizim cəmiyyəta İmam olanda yazıq olub, Yezid olanda, vətəndaş mövqemləri Ayət İmam Əliyev."
clip_0260.wav,"Nə qədər dilə tuturlarsa xeyir yoxdur."
clip_0261.wav,"Ondan sonra ki, mərasimlərdə eybi yox, siz deyən olsun, yezi də olaqam."
clip_0262.wav,"Axırda məcbur olub gedib qonşu kənddən, Yezid rolunu aparaq bir kişi tapıb gətirirlər, Məşədi Həmziyə də iman paltarını geydirib taxta qaldırırlar."
clip_0263.wav,"İndi gələc taleh Yüzběyovun tƏbirliklƏ bağlı reklamını."
clip_0264.wav,"Həqiqətən də bizim cəmiyyətə imam olanda yazıq olub."
clip_0265.wav,"Bu maral Ceyran heyvanla müqayisə etměyin, Əzizim."
